Source,Target
the,wood
wood,there
there,is
is,a
a,bird
bird,its
its,song
song,makes
makes,you
you,stop
stop,and
and,blush
blush,there
there,is
is,a
a,clock
clock,which
which,never
never,strikes
strikes,there
there,is
is,a
a,hollow
hollow,in
in,the
the,ground
ground,with
with,a
a,nest
nest,of
of,white
white,animals
animals,there
there,is
is,a
a,cathedral
cathedral,which
which,goes
goes,down
down,and
and,a
a,lake
lake,which
which,rises
rises,there
there,is
is,a
a,little
little,vehicle
vehicle,abandoned
abandoned,in
in,the
the,copse
copse,or
or,running
running,down
down,the
the,lane
lane,covered
covered,in
in,ribbons
ribbons,there
there,is
is,a
a,troupe
troupe,of
of,little
little,costumed
costumed,actors
actors,glimpsed
glimpsed,on
on,the
the,road
road,through
through,the
the,limits
limits,of
of,the
the,wood
wood,and
and,finally
finally,when
when,you
you,are
are,hungry
hungry,or
or,thirsty
thirsty,there
there,is
is,someone
someone,who
who,chases
chases,you
you,off
off,i
i,am
am,the
the,saint
saint,at
at,prayer
prayer,on
on,the
the,terrace
terrace,as
as,the
the,gentle
gentle,beasts
beasts,graze
graze,their
their,way
way,down
down,to
to,the
the,sea
sea,of
of,palestine
palestine,i
i,am
am,the
the,scholar
scholar,in
in,the
the,dark
dark,armchair
armchair,the
the,rain
rain,and
and,branches
branches,crash
crash,against
against,the
the,windows
windows,of
of,the
the,library
library,i
i,am
am,the
the,one
one,who
who,walks
walks,the
the,high
high,road
road,through
through,the
the,stunted
stunted,woods
woods,the
the,noise
noise,of
of,the
the,sluice-gates
sluice-gates,drowns
drowns,out
out,my
my,footsteps
footsteps,for
for,a
a,good
good,while
while,i
i,can
can,see
see,the
the,melancholy
melancholy,golden
golden,wash
wash,of
of,sunset
sunset,i
i,might
might,well
well,be
be,the
the,child
child,abandoned
abandoned,on
on,the
the,jetty
jetty,heading
heading,out
out,to
to,sea
sea,the
the,little
little,farmboy
farmboy,following
following,the
the,lane
lane,which
which,rises
rises,up
up,to
to,touch
touch,the
the,sky
sky,the
the,paths
paths,are
are,rough
rough,the
the,knolls
knolls,are
are,covered
covered,with
with,broom
broom,the
the,air
air,is
is,still
still,how
how,the
the,birds
birds,and
and,springs
springs,are
are,far
far,away
away,it
it,can
can,only
only,be
be,the
the,end
end,of
of,the
the,world
world,if
if,you
you,go
go,on
on,let
let,me
me,rent
rent,this
this,tomb
tomb,in
in,the
the,end
end,whitewashed
whitewashed,cement-lines
cement-lines,in
in,relief
relief,deep
deep,underground
underground,i
i,lean
lean,my
my,elbows
elbows,on
on,the
the,table
table,the
the,lamp
lamp,casts
casts,fierce
fierce,light
light,on
on,these
these,newspapers
newspapers,i
i,am
am,stupid
stupid,enough
enough,to
to,reread
reread,these
these,books
books,empty
empty,of
of,interest
interest,a
a,huge
huge,distance
distance,above
above,my
my,subterranean
subterranean,sitting-room
sitting-room,houses
houses,plant
plant,themselves
themselves,down
down,mists
mists,assemble
assemble,the
the,mud
mud,is
is,red
red,or
or,black
black,monstrous
monstrous,city
city,night
night,without
without,end
end,not
not,quite
quite,so
so,high
high,are
are,drains
drains,all
all,around
around,just
just,the
the,thickness
thickness,of
of,the
the,globe
globe,perhaps
perhaps,the
the,azure
azure,gulfs
gulfs,wells
wells,of
of,fire
fire,it
it,is
is,on
on,these
these,planes
planes,perhaps
perhaps,that
that,moons
moons,and
and,comets
comets,meet
meet,seas
seas,and
and,fables
fables,in
in,my
my,bitter
bitter,hours
hours,i
i,imagine
imagine,balls
balls,of
of,sapphire
sapphire,metal
metal,i
i,am
am,master
master,of
of,the
the,silence
silence,why
why,should
should,something
something,which
which,resembles
resembles,a
a,tunnel
tunnel,of
of,light
light,gleam
gleam,weakly
weakly,at
at,the
the,corner
corner,of
of,the
the,arch
arch,a
a,prince
prince,was
was,vexed
vexed,that
that,he
he,had
had,only
only,ever
ever,spent
spent,his
his,time
time,perfecting
perfecting,acts
acts,of
of,banal
banal,generosity
generosity,he
he,envisaged
envisaged,astounding
astounding,revolutions
revolutions,in
in,love
love,and
and,suspected
suspected,his
his,wives
wives,of
of,being
being,able
able,to
to,do
do,better
better,than
than,their
their,usual
usual,accommodations
accommodations,enhanced
enhanced,by
by,heaven
heaven,and
and,luxury
luxury,he
he,wanted
wanted,to
to,see
see,the
the,truth
truth,the
the,hour
hour,of
of,essential
essential,desire
desire,and
and,gratification
gratification,whether
whether,or
or,not
not,this
this,was
was,an
an,aberration
aberration,of
of,piety
piety,he
he,wanted
wanted,at
at,least
least,he
he,had
had,sufficient
sufficient,human
human,power
power,all
all,the
the,women
women,he
he,had
had,known
known,were
were,done
done,to
to,death
death,what
what,havoc
havoc,in
in,the
the,garden
garden,of
of,beauty
beauty,as
as,the
the,blade
blade,fell
fell,they
they,blessed
blessed,him
him,he
he,summoned
summoned,no
no,further
further,women
women,women
women,reappeared
reappeared,he
he,killed
killed,everyone
everyone,who
who,followed
followed,him
him,after
after,the
the,hunt
hunt,or
or,after
after,drink
drink,still
still,the
the,hordes
hordes,the
the,golden
golden,rooftops
rooftops,the
the,fine
fine,beasts
beasts,continued
continued,to
to,exist
exist,is
is,it
it,possible
possible,to
to,be
be,delirious
delirious,with
with,destruction
destruction,to
to,find
find,youth
youth,again
again,in
in,cruelty
cruelty,there
there,was
was,not
not,a
a,murmur
murmur,from
from,the
the,people
people,no
no,one
one,offered
offered,to
to,endorse
endorse,his
his,views
views,one
one,evening
evening,he
he,was
was,galloping
galloping,along
along,proudly
proudly,a
a,genie
genie,appeared
appeared,of
of,ineffable
ineffable,beauty
beauty,too
too,much
much,even
even,to
to,admit
admit,from
from,his
his,look
look,his
his,bearing
bearing,there
there,emerged
emerged,the
the,promise
promise,of
of,a
a,multiple
multiple,and
and,complex
complex,love
love,of
of,happiness
happiness,beyond
beyond,words
words,unbearable
unbearable,even
even,the
the,prince
prince,and
and,the
the,genie
genie,probably
probably,blotted
blotted,themselves
themselves,out
out,in
in,essential
essential,health
health,how
how,could
could,they
they,not
not,have
have,died
died,of
of,it
it,so
so,together
together,they
they,died
died,but
but,this
this,prince
prince,passed
passed,away
away,in
in,his
his,palace
palace,at
at,a
a,normal
normal,age
age,the
the,prince
prince,was
was,the
the,genie
genie,the
the,genie
genie,was
was,the
the,prince
prince,our
our,desire
desire,lacks
lacks,knowing
knowing,music
music,weird-looking
weird-looking,sturdy
sturdy,types
types,many
many,of
of,them
them,have
have,exploited
exploited,your
your,worlds
worlds,wanting
wanting,for
for,nothing
nothing,and
and,in
in,no
no,haste
haste,to
to,bring
bring,into
into,play
play,their
their,brilliant
brilliant,abilities
abilities,and
and,their
their,knowledge
knowledge,of
of,how
how,you
you,think
think,what
what,mature
mature,men
men,eyes
eyes,bewildered
bewildered,like
like,summer
summer,night
night,red
red,and
and,black
black,three-coloured
three-coloured,steel
steel,pricked
pricked,out
out,with
with,golden
golden,stars
stars,deformed
deformed,features
features,like
like,lead
lead,blanched
blanched,on
on,fire
fire,caprices
caprices,of
of,hoarseness
hoarseness,the
the,cruel
cruel,swagger
swagger,of
of,flashy
flashy,rags
rags,there
there,are
are,some
some,young
young,people
people,what
what,would
would,they
they,make
make,of
of,cherubino
cherubino,endowed
endowed,with
with,frightening
frightening,voices
voices,and
and,dangerous
dangerous,resources
resources,they
they,are
are,sent
sent,into
into,town
town,to
to,parade
parade,themselves
themselves,got
got,up
up,in
in,disgusting
disgusting,luxury
luxury,o
o,most
most,violent
violent,paradise
paradise,of
of,the
the,furious
furious,grimace
grimace,no
no,comparison
comparison,with
with,your
your,fakirs
fakirs,and
and,the
the,other
other,buffooneries
buffooneries,of
of,the
the,stage
stage,in
in,costumes
costumes,as
as,if
if,in
in,an
an,improvised
improvised,bad
bad,dream
dream,they
they,act
act,out
out,sad
sad,stories
stories,tragedies
tragedies,of
of,brigands
brigands,and
and,demigods
demigods,more
more,spirited
spirited,than
than,history
history,or
or,religion
religion,ever
ever,were
were,chinese
chinese,hottentots
hottentots,gypsies
gypsies,dimwits
dimwits,hyenas
hyenas,molochs
molochs,antique
antique,lunacies
lunacies,sinister
sinister,demons
demons,they
they,mix
mix,popular
popular,turns
turns,stories
stories,heard
heard,at
at,mother
mother,'s
's,knee
knee,with
with,bestial
bestial,poses
poses,and
and,blandishments
blandishments,they
they,would
would,happily
happily,do
do,new
new,plays
plays,sentimental
sentimental,songs
songs,master-jugglers
master-jugglers,that
that,they
they,are
are,they
they,transform
transform,place
place,and
and,person
person,using
using,hypnotic
hypnotic,makebelieve
makebelieve,eyes
eyes,flame
flame,blood
blood,sings
sings,bones
bones,expand
expand,tears
tears,run
run,and
and,strands
strands,of
of,red
red,their
their,jeers
jeers,their
their,terror
terror,last
last,a
a,few
few,seconds
seconds,or
or,months
months,and
and,months
months,i
i,alone
alone,have
have,the
the,key
key,to
to,this
this,wild
wild,parade
parade,graceful
graceful,son
son,of
of,pan
pan,around
around,your
your,head
head,crowned
crowned,with
with,little
little,flowers
flowers,and
and,berries
berries,your
your,eyes
eyes,precious
precious,spheres
spheres,move
move,stained
stained,with
with,brown
brown,dregs
dregs,your
your,cheeks
cheeks,grow
grow,hollow
hollow,your
your,fangs
fangs,gleam
gleam,your
your,chest
chest,is
is,like
like,a
a,cithara
cithara,a
a,trickle
trickle,of
of,notes
notes,runs
runs,round
round,your
your,blond
blond,arms
arms,your
your,heart
heart,beats
beats,in
in,that
that,belly
belly,where
where,the
the,double
double,sex
sex,lies
lies,still
still,walk
walk,at
at,night
night,gently
gently,moving
moving,that
that,thigh
thigh,that
that,second
second,thigh
thigh,and
and,that
that,left
left,leg
leg,against
against,snow
snow,a
a,tall
tall,being
being,of
of,beauty
beauty,hisses
hisses,of
of,death
death,and
and,circles
circles,of
of,muted
muted,music
music,make
make,this
this,worshipped
worshipped,body
body,rise
rise,expand
expand,and
and,tremble
tremble,like
like,a
a,ghost
ghost,black
black,and
and,scarlet
scarlet,wounds
wounds,burst
burst,in
in,superb
superb,flesh
flesh,the
the,colours
colours,clearly
clearly,those
those,of
of,life
life,grow
grow,dark
dark,dance
dance,stand
stand,out
out,against
against,the
the,vision
vision,taking
taking,shape
shape,and
and,the
the,shudders
shudders,rise
rise,and
and,rumble
rumble,and
and,the
the,frenzied
frenzied,flavour
flavour,of
of,these
these,effects
effects,as
as,they
they,accept
accept,deadly
deadly,hisses
hisses,and
and,raucous
raucous,music
music,which
which,the
the,world
world,far
far,behind
behind,us
us,hurls
hurls,at
at,our
our,mother
mother,of
of,beauty
beauty,she
she,moves
moves,back
back,makes
makes,herself
herself,tall
tall,oh
oh,our
our,bones
bones,now
now,wear
wear,a
a,new
new,and
and,loving
loving,body
body,o
o,the
the,ashen
ashen,face
face,the
the,horsehair
horsehair,escutcheon
escutcheon,the
the,crystal
crystal,arms
arms,the
the,cannon
cannon,on
on,which
which,i
i,must
must,fall
fall,through
through,the
the,fray
fray,of
of,trees
trees,and
and,buoyant
buoyant,air
air,o
o,the
the,enormous
enormous,avenues
avenues,of
of,the
the,holy
holy,land
land,the
the,temple
temple,terraces
terraces,what
what,has
has,become
become,of
of,the
the,brahmin
brahmin,who
who,explained
explained,to
to,me
me,the
the,proverbs
proverbs,of
of,that
that,time
time,that
that,place
place,i
i,still
still,see
see,even
even,the
the,old
old,women
women,i
i,remember
remember,hours
hours,of
of,silver
silver,and
and,sun
sun,towards
towards,the
the,river
river,the
the,landscape
landscape,'s
's,hand
hand,on
on,my
my,shoulder
shoulder,and
and,our
our,caresses
caresses,as
as,we
we,stood
stood,on
on,the
the,spiced
spiced,plains
plains,a
a,flight
flight,of
of,scarlet
scarlet,pigeons
pigeons,clamours
clamours,round
round,my
my,thoughts
thoughts,exiled
exiled,here
here,once
once,i
i,had
had,a
a,stage
stage,on
on,which
which,to
to,perform
perform,the
the,great
great,dramatic
dramatic,works
works,of
of,all
all,literatures
literatures,i
i,would
would,show
show,you
you,unbelievable
unbelievable,riches
riches,i
i,observe
observe,the
the,history
history,of
of,the
the,treasures
treasures,which
which,once
once,you
you,found
found,i
i,can
can,see
see,what
what,will
will,follow
follow,my
my,wisdom
wisdom,is
is,as
as,despised
despised,as
as,chaos
chaos,what
what,is
is,my
my,nothingness
nothingness,compared
compared,to
to,the
the,stupor
stupor,which
which,awaits
awaits,you
you,i
i,am
am,an
an,inventor
inventor,with
with,quite
quite,different
different,virtues
virtues,from
from,all
all,those
those,who
who,have
have,gone
gone,before
before,me
me,a
a,musician
musician,in
in,fact
fact,who
who,has
has,found
found,something
something,like
like,the
the,keynote
keynote,of
of,love
love,at
at,present
present,a
a,country
country,gentleman
gentleman,in
in,a
a,harsh
harsh,stretch
stretch,of
of,land
land,under
under,sober
sober,sky
sky,i
i,try
try,to
to,be
be,moved
moved,by
by,the
the,memory
memory,of
of,a
a,beggar
beggar,childhood
childhood,of
of,apprenticeship
apprenticeship,or
or,arrival
arrival,in
in,clogs
clogs,of
of,polemics
polemics,of
of,my
my,five
five,or
or,six
six,widowhoods
widowhoods,and
and,of
of,a
a,few
few,orgies
orgies,of
of,alcohol
alcohol,when
when,a
a,strong
strong,head
head,stopped
stopped,me
me,reaching
reaching,the
the,same
same,fever-pitch
fever-pitch,as
as,my
my,drinkingcompanions
drinkingcompanions,i
i,do
do,not
not,regret
regret,my
my,erstwhile
erstwhile,share
share,of
of,divine
divine,gaiety
gaiety,the
the,sober
sober,air
air,of
of,that
that,harsh
harsh,landscape
landscape,feeds
feeds,most
most,actively
actively,my
my,atrocious
atrocious,scepticism
scepticism,but
but,as
as,this
this,scepticism
scepticism,can
can,not
not,be
be,put
put,to
to,use
use,any
any,longer
longer,and
and,as
as,anyway
anyway,i
i,am
am,engrossed
engrossed,in
in,a
a,new
new,uneasiness
uneasiness,i
i,expect
expect,to
to,go
go,mad
mad,in
in,a
a,particularly
particularly,vicious
vicious,way
way,in
in,an
an,attic
attic,where
where,i
i,was
was,locked
locked,up
up,when
when,i
i,was
was,twelve
twelve,i
i,came
came,to
to,know
know,the
the,world
world,i
i,illustrated
illustrated,the
the,human
human,comedy
comedy,in
in,a
a,store-cupboard
store-cupboard,i
i,learnt
learnt,history
history,at
at,some
some,night-time
night-time,festival
festival,in
in,a
a,city
city,of
of,the
the,north
north,i
i,met
met,all
all,the
the,women
women,of
of,the
the,old
old,painters
painters,in
in,an
an,ancient
ancient,paris
paris,passageway
passageway,i
i,was
was,taught
taught,the
the,classical
classical,sciences
sciences,in
in,a
a,magnificent
magnificent,dwelling
dwelling,ringed
ringed,round
round,by
by,the
the,whole
whole,orient
orient,i
i,finished
finished,my
my,huge
huge,work
work,and
and,spent
spent,my
my,illustrious
illustrious,retirement
retirement,i
i,brewed
brewed,my
my,blood
blood,i
i,have
have,been
been,exempted
exempted,from
from,my
my,duty
duty,no
no,need
need,to
to,think
think,of
of,it
it,any
any,more
more,even
even,i
i,am
am,truly
truly,from
from,beyond
beyond,the
the,grave
grave,and
and,completely
completely,unbeholden
unbeholden,enough
enough,seen
seen,the
the,vision
vision,has
has,been
been,met
met,in
in,every
every,air
air,enough
enough,had
had,distant
distant,sounds
sounds,of
of,cities
cities,in
in,the
the,evening
evening,and
and,in
in,the
the,sun
sun,and
and,always
always,enough
enough,known
known,life
life,'s
's,injunctions
injunctions,o
o,sounds
sounds,and
and,visions
visions,departure
departure,in
in,new
new,affection
affection,and
and,new
new,noise
noise,one
one,beautiful
beautiful,morning
morning,in
in,a
a,country
country,of
of,very
very,gentle
gentle,people
people,a
a,magnificent
magnificent,man
man,and
and,woman
woman,were
were,shouting
shouting,in
in,the
the,public
public,square
square,‘
‘,my
my,friends
friends,i
i,want
want,her
her,to
to,be
be,queen
queen,‘
‘,i
i,want
want,to
to,be
be,queen
queen,she
she,was
was,laughing
laughing,and
and,trembling
trembling,he
he,was
was,telling
telling,their
their,friends
friends,about
about,a
a,revelation
revelation,an
an,ordeal
ordeal,completed
completed,they
they,were
were,swooning
swooning,one
one,against
against,the
the,other
other,and
and,indeed
indeed,monarchs
monarchs,they
they,were
were,for
for,a
a,whole
whole,morning
morning,during
during,which
which,crimson
crimson,hangings
hangings,were
were,raised
raised,up
up,the
the,house
house,façades
façades,and
and,for
for,the
the,entire
entire,afternoon
afternoon,of
of,their
their,progress
progress,towards
towards,the
the,gardens
gardens,of
of,palms
palms,one
one,touch
touch,of
of,your
your,finger
finger,on
on,the
the,drum
drum,sets
sets,off
off,every
every,sound
sound,and
and,starts
starts,the
the,new
new,harmony
harmony,you
you,take
take,one
one,step
step,new
new,men
men,rise
rise,and
and,start
start,to
to,march
march,your
your,head
head,turns
turns,away
away,new
new,love
love,your
your,head
head,turns
turns,back
back,new
new,love
love,‘
‘,change
change,our
our,lot
lot,wipe
wipe,out
out,plagues
plagues,starting
starting,with
with,time
time,these
these,children
children,chant
chant,at
at,you
you,‘
‘,cherish
cherish,and
and,nurture
nurture,the
the,substance
substance,of
of,our
our,fortunes
fortunes,and
and,our
our,desires
desires,where
where,you
you,please
please,they
they,beg
beg,you
you,who
who,have
have,arrived
arrived,from
from,all
all,time
time,and
and,will
will,leave
leave,for
for,everywhere
everywhere,oh
oh,my
my,good
good,my
my,beauty
beauty,atrocious
atrocious,fanfare
fanfare,in
in,which
which,i
i,do
do,not
not,waver
waver,magical
magical,torture-rack
torture-rack,salute
salute,the
the,unheard-of
unheard-of,work
work,and
and,the
the,marvellous
marvellous,body
body,for
for,the
the,first
first,time
time,it
it,began
began,amid
amid,the
the,laughter
laughter,of
of,the
the,children
children,it
it,will
will,finish
finish,with
with,them
them,this
this,poison
poison,will
will,stay
stay,in
in,all
all,our
our,veins
veins,even
even,when
when,the
the,fanfare
fanfare,changes
changes,and
and,brings
brings,us
us,back
back,to
to,the
the,old
old,disharmony
disharmony,o
o,now
now,let
let,us
us,who
who,so
so,deserve
deserve,these
these,tortures
tortures,fervently
fervently,gather
gather,that
that,superhuman
superhuman,promise
promise,made
made,to
to,our
our,created
created,bodies
bodies,that
that,promise
promise,that
that,madness
madness,elegance
elegance,knowledge
knowledge,violence
violence,we
we,have
have,the
the,promise
promise,that
that,the
the,tree
tree,of
of,good
good,and
and,evil
evil,shall
shall,be
be,buried
buried,in
in,darkness
darkness,that
that,tyrannical
tyrannical,decencies
decencies,shall
shall,be
be,exiled
exiled,so
so,that
that,we
we,may
may,introduce
introduce,our
our,love
love,of
of,utmost
utmost,purity
purity,it
it,began
began,in
in,some
some,disgust
disgust,and
and,it
it,finished
finished,unable
unable,as
as,we
we,are
are,to
to,seize
seize,this
this,eternity
eternity,here
here,and
and,now
now,it
it,finished
finished,in
in,a
a,riot
riot,of
of,scents
scents,laughter
laughter,of
of,the
the,children
children,discretion
discretion,of
of,the
the,slaves
slaves,the
the,virgins'
virgins',austerity
austerity,the
the,horror
horror,of
of,the
the,faces
faces,and
and,objects
objects,which
which,belong
belong,here
here,may
may,you
you,be
be,hallowed
hallowed,by
by,the
the,memory
memory,of
of,this
this,wake
wake,it
it,began
began,in
in,utter
utter,boorishness
boorishness,here
here,it
it,is
is,ending
ending,in
in,angels
angels,of
of,fire
fire,and
and,ice
ice,small
small,drunken
drunken,wake
wake,holy
holy,if
if,only
only,for
for,the
the,mask
mask,you
you,have
have,bestowed
bestowed,on
on,us
us,method
method,we
we,confirm
confirm,you
you,we
we,do
do,not
not,forget
forget,that
that,yesterday
yesterday,you
you,glorified
glorified,each
each,of
of,our
our,ages
ages,we
we,have
have,faith
faith,in
in,the
the,poison
poison,we
we,know
know,how
how,to
to,give
give,our
our,life
life,whole
whole,every
every,day
day,this
this,is
is,the
the,time
time,of
of,the
the,assassins
assassins,when
when,the
the,world
world,has
has,been
been,reduced
reduced,to
to,a
a,single
single,dark
dark,wood
wood,for
for,our
our,four
four,astonished
astonished,eyes
eyes,to
to,a
a,beach
beach,for
for,two
two,faithful
faithful,children
children,to
to,a
a,house
house,of
of,music
music,for
for,our
our,manifest
manifest,sympathy
sympathy,i
i,shall
shall,find
find,you
you,let
let,there
there,remain
remain,here
here,below
below,just
just,a
a,single
single,old
old,man
man,calm
calm,and
and,beautiful
beautiful,surrounded
surrounded,by
by,``
``,untold
untold,riches
riches,''
'',and
and,i
i,shall
shall,be
be,at
at,your
your,feet
feet,let
let,me
me,have
have,accomplished
accomplished,all
all,your
your,memories
memories,let
let,me
me,be
be,the
the,woman
woman,who
who,knows
knows,how
how,to
to,bind
bind,you
you,hand
hand,and
and,foot
foot,i
i,shall
shall,suffocate
suffocate,you
you,when
when,we
we,are
are,very
very,strong
strong,who
who,pulls
pulls,back
back,when
when,we
we,sparkle
sparkle,so
so,who
who,falls
falls,down
down,in
in,ridicule
ridicule,when
when,we
we,are
are,full
full,of
of,malice
malice,what
what,would
would,they
they,do
do,to
to,us
us,put
put,on
on,finery
finery,dance
dance,laugh
laugh,i
i,shall
shall,never
never,be
be,able
able,to
to,send
send,love
love,out
out,of
of,the
the,window
window,my
my,companion
companion,beggar-girl
beggar-girl,monster
monster,child
child,how
how,these
these,unfortunate
unfortunate,women
women,and
and,these
these,manoeuvres
manoeuvres,and
and,my
my,difficulties
difficulties,leave
leave,you
you,unmoved
