Id,tag
sun,VBD
salute,JJ
knows,NNS
erstwhile,VBP
cattle,NNS
even,RB
valley,VBP
finger,JJR
polemics,NNS
price,NN
edge,NN
hurls,NN
shape,NN
cathedral,NN
from,IN
guarding,VBG
melancholy,JJ
giant,JJ
rails,NNS
skulls,NNS
but,CC
soon,RB
desires,NNS
hordes,VBZ
ghastly,RB
colossi,JJ
damning,VBG
cithara,NN
charcoal,NN
guaranis,NN
mad,JJ
mourning,VBG
physical,JJ
barbarians,NNS
guise,VBP
acts,NNS
moistened,VBD
brambles,NNS
phantoms,NNS
blush,JJ
frontage,NN
gypsies,NNS
introduce,VBP
altars,NNS
on,IN
compared,VBN
vile,NN
owed,VBN
fables,NNS
against,IN
huge,JJ
celebrate,NN
prayer,NN
oh,JJ
hours,NNS
interest,NN
dried-up,NN
passed,VBD
legend,JJ
shards,NNS
airs,NNS
bird,VBP
gaiety,NN
brandishing,NN
domain,NN
still,RB
havoc,VBZ
cold,JJ
virgin,NN
exist,VBP
tree,IN
a,DT
act,NN
if,IN
anthems,NNS
spend,VBP
might,MD
ministries,NNS
feeling,VBG
demeanour,NN
it,PRP
lined,VBD
widowhoods,NNS
nations,NNS
continued,VBD
travellers,NNS
hypnotic,JJ
grouping,VBG
rolands*,JJ
unheard-of,JJ
hanging,NN
harvested,VBD
bonnet,NN
smell,NN
buried,VBN
black,JJ
old,JJ
ruin,NN
history,NN
receive,JJ
arrival,NN
blue,NN
carts,VBZ
pictures,NNS
pot,VBP
wash,JJ
thing,NN
vehicles,NNS
mountains,VBZ
hail,VBP
subtly,RB
lodges,VBZ
literatures,NNS
‘,JJ
figures,NNS
glimpsed,VBN
warm,JJ
over,IN
sitting-room,JJ
types,NNS
samaria,VBP
level,NN
tunes,NNS
clamours,VBP
threw,NN
between,IN
drum,NN
domes,NNS
certain,JJ
childhood,JJ
superstition,NN
strangest,JJS
emollient,NN
coaches,NNS
gone,VBN
grey,JJ
age,NN
offered,VBD
confirm,JJ
wafts,NNS
disgusting,VBG
same,JJ
ceilings,NNS
across,IN
singularly,JJ
wounds,NNS
opera,VBP
empty,JJ
duty,NN
falling,VBG
fills,NNS
luxury,NN
planes,NNS
touch,JJ
divine,JJ
fray,NN
shadows,VBZ
dramatic,JJ
use,NN
bearing,NN
bones,NNS
accept,VBP
newspaper,NN
lips,NNS
mounts,NNS
perform,RB
pointed,VBD
cries,NNS
eyes,NNS
art,VBP
innocence,NN
enters,NNS
head,VBP
sound,JJ
ten,JJ
commercial,JJ
mabs*,NN
sloping,VBG
blade,NN
light,JJ
mean,NN
just,RB
room,NN
saps,NNS
work,VBP
shadow,NN
himself,PRP
quarrelsome,RB
respected,VBD
cabmen,NNS
west,JJS
powder,NN
perhaps,RB
resembles,VBZ
heighten,JJ
voices,NNS
demigods,NNS
scarf,VBP
heart,NN
reappeared,VBN
remain,VBP
mature,JJ
scenes,NNS
brought,VBD
nakedness,RB
grove,JJ
sapphire,NN
to,TO
mother,VB
permit,NN
and,CC
washed,VBD
dimwits,NNS
established,VBN
produce,VBP
recesses,NNS
first,RB
sort,RB
parade,VB
deceased,JJ
clumps,NNS
fit,JJ
reverberates,NNS
am,VBP
sad,JJ
knolls,NNS
hottentots,NNS
whom,WP
scurrying,VBG
moved,VBD
pillars,NNS
cruel,JJ
bear,JJ
scepticism,NN
whirled,VBD
surrenders,NNS
hangings,NNS
arabia,VBP
bars,NNS
dance,VB
mind,NN
penniless,JJ
insolent,JJ
girls,NNS
by,IN
city,NN
glacier,NN
not,RB
brown,JJ
hovels,NNS
bare,VBP
closed,VBN
unbearable,JJ
enhanced,VBD
envisaged,JJ
parisian,NN
where,WRB
may,MD
courtyards,VB
departed,VBN
was,VBD
banal,JJ
wakefulness,NN
fog,NN
queen,JJ
remember,VB
mere,JJ
savage,NN
reconnaissance,NN
spirited,VBD
markets,NNS
casts,VBZ
angle,VBP
rumble,JJ
vigil,NN
walls,NNS
fate,VBP
curses,NNS
ebony,JJ
second,JJ
stop,NN
wandered,VBD
exhibitions,NNS
attic,JJ
sung,NN
tiresomeness,NN
cheeks,NN
slav,NN
replied,VBD
circuses,NNS
busy,JJ
your,PRP$
haystacks,NNS
branches,NNS
belly,RB
months,NNS
woodcutter,VBP
star,NN
conceptions,NNS
want,VBP
swooning,VBG
plague,NN
turns,VBZ
region,NN
footbridges,NNS
burying,VBG
unoccupied,JJ
lower,JJR
scoffed,NN
rough,JJ
need,NN
awaits,NNS
below,IN
this,DT
dome,JJ
drowns,NN
as,IN
shaded,JJ
excitement,NN
prices,NNS
country,NN
reread,VBP
generosity,NN
abattoirs,NNS
began,VBD
chalets,NNS
circus,JJ
land,VBP
never,RB
strong,JJ
monarchs,NNS
wearing,VBG
modern,JJ
flare,NN
comes,VBZ
overwhelmed,JJ
unchanging,JJ
perfecting,VBG
opaline,JJ
murky,JJ
stage-planks,NNS
saint,NN
wheels,NNS
horrifying,VBG
treasures,NNS
other,JJ
alight,JJ
scene,NN
echo,VBP
shall,MD
chaos,VB
laughing,VBG
among,IN
angled,JJ
street,NN
upright,JJ
strands,NNS
marvels,NNS
indeed,RB
deserts,NNS
flat,JJ
candelabra,NN
rainbow,NN
costumed,VBD
path,NN
fifteen,NN
drapes,VBZ
vegetable,JJ
language,NN
crash,NN
town,NN
small,JJ
drama,NN
ladies,NNS
unfurls,JJ
follows,VBZ
changed,VBN
*,JJ
painters,NNS
artistically,RB
defences,NNS
coffins,VBZ
yourself,PRP
one,CD
vision,NN
food,NN
known,VBN
obliquely,RB
drag,JJ
men,NNS
big,JJ
notes,NNS
beautiful,JJ
came,VBD
officials,NNS
piety,NN
dead,JJ
ravines,NNS
waterfall,VBP
utter,JJ
mouldings,NNS
diana*,VBP
trembling,VBG
saw,VBD
laughter,NN
earthen,NN
japan,NN
church,NN
brings,VBZ
russet,VBN
none-too-discontented,JJ
staircases,NNS
stroller,VBP
trumpeting,VBG
arch,NN
destitution,NN
ice,NN
coloured,VBD
sheet,JJ
nobility,NN
thorny,NN
alps,VBZ
pier,RB
deserted,VBN
moss,NN
whimpering,VBG
austerity,NN
abyss,RB
swagger,JJ
thick,JJ
cement-lines,NNS
get,VBP
buffooneries,NNS
railings,NNS
park,VBP
mix,JJ
chords,NNS
worrying,VBG
weird-looking,VBG
out,IN
footlights,NNS
shifty,JJ
house,NN
century,NN
numbers,NNS
overcast,VBP
knees,NNS
inn,VBP
bitumen,NNS
poses,NNS
restore,VBP
behind,IN
strength,NN
infinity,NN
said,VBD
wide,JJ
image,NN
fanfare,NN
sympathy,JJ
steel,NN
sunset,NNS
war,NN
orient,JJ
elbows,VBZ
spent,VBN
removed,VBD
logic,NNS
blessed,VBN
barge,NN
monument,NN
forget,NN
dreams,NN
boulevards,NNS
features,VBZ
carriage,JJ
canvas,NN
mellifluously,RB
pond,JJ
pattern,NN
columns,NN
veins,VBZ
doubt,NN
bind,IN
cafes,JJ
parapets,NNS
repeated,VBN
short,JJ
us,PRP
fabulously,RB
temple,JJ
paths,NNS
singing,VBG
stories,NNS
desperate,JJ
teeming,VBG
damascus,NN
frightening,VBG
spreads,NNS
holy,JJ
plagues,NNS
betrothed,VBN
least,JJS
greek,JJ
round,NN
gathering,VBG
slaves,NNS
lead,VBP
hollow,JJ
comets,NNS
ribbons,NNS
describe,VBP
vaguely,RB
musical,JJ
ridicule,NN
lordly,RB
metal,JJ
skies,NNS
riot,VBP
lady,JJ
rose-bushes,NNS
cradled,VBD
genie,NN
bring,NN
back,RP
condition,NN
promise,NN
pan,NN
untold,JJ
sand,NN
coastal,NN
women*,NN
merest,JJS
sciences,NNS
suburban,VBP
flavour,CD
which,WDT
nothing,NN
face,NN
visions,NNS
main,JJ
sluice-gate,JJ
july,NN
surrounded,VBD
servant,JJ
spread,NN
knowledge,VBP
those,DT
gulfs,JJ
beggar-girl,JJ
seal,NN
colours,NNS
classical,JJ
traversed,VBD
smaller,JJR
hundred,JJ
fortunes,NNS
beauty,NN
fine,JJ
bitter,NN
beavers,NNS
family,NN
lanterns,VBZ
looked,VBD
waters,NNS
proverbs,VBP
caverns,NNS
traveller,JJ
goblets,NNS
harmony,VBP
trampled,VBN
etnas,NNS
shirt,VBP
sighs,NNS
settled,VBD
sinister,RB
sex,NN
ordeal,JJ
rays,VBZ
wearisome,VBP
headlong,JJ
man-made,JJ
lying,NN
giantesses,NNS
cherish,JJ
banks,NNS
be,VB
heavy,JJ
stacked,JJ
objects,NNS
mountain-tops,JJ
canals,NNS
drunkenness,JJ
caprices,NNS
leaves,VBZ
under,IN
farmboy,NN
flee,NN
dancing,VBG
exemplify,NN
rooms,NNS
sturdy,JJ
manoeuvres,NNS
subsided,VBD
judge,NN
horsehair,NN
heads,NNS
palace,VBP
purity,NN
fondnesses,NNS
satanic,JJ
noise,JJ
subterranean,JJ
places,NNS
what,WP
flashy,VBP
found,VBN
bridges,NNS
costumes,NNS
enchantments,NNS
everyone,NN
blacksmiths,JJ
february,JJ
chinese,JJ
boorishness,NN
gorges,NNS
thickets,NNS
went,VBD
metropolis,JJ
seize,NN
stalls,NNS
newspapers,NNS
spectators,NNS
entire,JJ
desire,NN
dragged,VBD
mystery,JJ
sweet,JJ
madness,NN
surge,NN
elegance,NN
fault,NN
clears,VBZ
wood,NN
superhuman,NN
passing,VBG
steeplecocks,NNS
dirty,VBP
so,RB
underground,JJ
landscape,NN
songs,NNS
despised,VBD
flowers,NNS
crime,NN
sudden,JJ
partitions,NNS
worshipped,VBD
meadow,JJ
pilgrimage,NN
unable,JJ
heading,VBG
garden,NN
groves,NNS
prints,NNS
accomplished,JJ
estate,NN
distance,NN
lit-up,NN
off,IN
discretion,NN
did,VBD
clogs,NNS
state,NN
since,IN
outrageous,JJ
happily,RB
ornamental,JJ
underneath,NN
reduced,VBD
must,MD
woodlands,VB
paradise,NN
faithful,JJ
pastorals,NNS
conventions,NNS
finished,VBD
clubs,NNS
afternoon,NN
in,IN
limits,NNS
thyme,NNS
take,VBP
almost,RB
unfortunate,JJ
clock,NN
legends,NNS
cannon,VBP
raised,VBN
suit,NN
flesh,JJ
ugly,RB
caves,VBZ
rhine,JJ
brahmin,NN
gently,RB
makes,VBZ
come,JJ
hermits,NNS
attach,VBP
incense,JJ
moving,VBG
ill-luck,JJ
retirement,NN
grumbling,VBG
details,NNS
orgies,NNS
stretch,VBP
sainte-chapelle,NN
stained,VBN
fur,JJ
ray,NN
mists,NNS
primitive,VBP
boeotians,NNS
far,RB
morning,NN
leg,NN
shower,NN
meet,NN
enormous,JJ
complex,JJ
palestine,NN
created,VBD
steps,NNS
commitment,NN
ringed,VBD
scarlet,NN
boats,NNS
knowing,VBG
centre,NN
improbable,JJ
malice,NN
fought,VBD
islands,NNS
belong,JJ
assassins,NNS
receding,VBG
moments,NNS
disharmony,NN
herself,PRP
being,VBG
sometimes,RB
show,VB
similar,JJ
now,RB
recognized,VBN
continent,NN
ravaged,VBN
man,NN
disgust,NN
grow,VB
bestial,JJ
plays,NNS
learnt,VBP
sockets,NNS
circulates,VBZ
another,DT
madame,NN
fruiterer,NN
of,IN
put,NN
everything,NN
whitewashed,VBD
hearth,JJ
god,NN
daylight,VBD
keep,VB
***,NNP
bell,NN
improvised,VBD
night,NN
deadly,RB
harsh,JJ
bad,JJ
wind,NN
comic,JJ
twenty,NN
squares,NNS
sleeping,VBG
ages,NNS
stunted,VBN
master-jugglers,NNS
or,CC
crimson,JJ
rampart,NN
morals,NNS
armature,VBP
mexican,JJ
became,VBD
county,JJ
acropolis,IN
window-panes,JJ
arm,NN
perfume,NN
eruptions,NNS
leave,VBP
incidents,NNS
coal-smoke,JJ
become,VBP
flute,JJ
tunnel,NN
celebrated,VBD
raucous,JJ
fairy-tale,JJ
divans,NNS
without,IN
sharpened,VBN
cultivated,JJ
virtues,NNS
delirious,JJ
horses,NNS
grimace,VBP
raise,VB
comedy,NN
alleghenies*,IN
galloping,VBG
fact,NN
breast,IN
running,VBG
installed,JJ
spring,NN
amid,IN
after,IN
remnants,NNS
bustling,VBG
straightaway,RB
melt,JJ
strikes,NNS
leads,VBZ
darkening,VBG
terror,NN
incandescent,NN
long,RB
ancient,JJ
flourishing,VBG
copse,NN
workplaces,NNS
troupe,VBP
clouds,JJ
asia,NN
sultans,NNS
death,NN
countryside,NN
summer,NN
despairs,VBZ
thirsty,JJ
hamlets,NNS
transform,VBP
health,NN
plumes,NNS
we,PRP
daughter,VBP
would,MD
superior,VB
moves,NNS
sob,JJ
craters,NNS
hare,JJ
footsteps,NNS
smoke,VBD
animals,NNS
peas,IN
me,PRP
myriad,JJ
straits,NNS
polar,IN
these,DT
summits,NNS
oriflammes,RB
spiced,VBD
turned,JJ
drinkingcompanions,NNS
nothingness,JJ
colossal,NN
gardens,NNS
civil,JJ
kept,VBD
double,JJ
eternal,JJ
beyond,IN
stupor,JJ
points,NNS
been,VBN
swells,NNS
you,PRP
eclogues,VBP
bell-towers,NNS
quantity,NN
left,VBD
shady,JJ
reach,NN
district,NN
mask,NN
blanched,VBD
cherubino,NN
whether,IN
endorse,NN
when,WRB
waves,NNS
moon,VBP
distant,JJ
shaped,VBD
ropes,NNS
robes,VB
sent,JJ
calvaries,NNS
before,IN
stupid,JJ
angels,NNS
underlings,JJ
bodies,NNS
brown-and-white,JJ
unbelievable,JJ
ashen,NN
reality,NN
storms,NNS
music,NN
hampton,VBZ
only,RB
slopes,JJ
weakly,RB
carbonic,NN
who,WP
last,JJ
forest,NN
fell,VBD
residence,RB
extraordinary,JJ
characters,NNS
shelves,NNS
trickle,VBP
thousand,CD
roar,NN
children,NNS
dramas,VBP
molochs,JJ
fierce,NN
always,RB
queens,VBZ
grates,NNS
hang,VBD
postern,JJ
anvils,NNS
lit,VBD
orange-pink,JJ
wild,JJ
towards,NNS
america,NN
decencies,NNS
mathematics,NNS
laugh,IN
opposite,JJ
made,VBN
books,NNS
education,NN
for,IN
embark,NN
pitiful,JJ
purple,JJ
nature,NN
gentle,JJ
wakes,NNS
able,JJ
splendide,JJ
mares,NNS
glass,VBP
breath,NN
building,NN
how,WRB
beside,NN
probably,RB
meetingrooms,VBD
promontory,NN
here,RB
length,VBZ
dragging,VBG
mass,NN
peloponnese,JJ
style,NN
façades,NNS
crevasses,NNS
given,VBN
flood,JJ
accommodations,NNS
descent,NN
arranged,VBD
calm,JJ
rolling,VBG
magic,JJ
jeers,NNS
unending,JJ
sentimental,JJ
difficulties,NNS
into,IN
communions,NNS
destruction,NN
masterpieces,NNS
regret,VBP
dissolves,NNS
day,NN
walk,VBP
stand,VBP
minor,JJ
abilities,NNS
taking,VBG
substance,NN
masks,NNS
no,DT
met,VBD
gentleman,NN
lashed,VBD
dangerous,JJ
abode,IN
all,DT
actively,RB
architecture,JJ
caresses,NNS
escutcheon,VBP
unbeholden,JJ
waving,NN
hardened,VBD
quite,RB
diversion,JJ
venice,NN
east,RB
graced,JJ
weapons,NNS
well-soaked,JJ
collapse,NN
silver,NN
nevertheless,RB
possible,JJ
pricked,VBN
wanted,VBD
hearts,NNS
slavery,NN
coffees,NNS
coat,VBP
mute,RB
well,RB
sounds,VBZ
henrika,JJ
rainbows,NNS
bizarre,VBP
highest,JJS
rise,NN
ideas,NNS
fairy,VBP
unmoved,JJ
following,JJ
lean,JJ
lies,VBZ
simple,NN
while,IN
hisses,NNS
young,JJ
avalanches,NNS
will,MD
buildings,VB
beggar,JJ
beneath,NN
until,IN
studies,NNS
breeze,VBP
rent,NN
prodigy,NN
nest,RB
marvellous,JJ
orchard,NN
lunacies,NNS
lights,VBP
embankments,NNS
torrent,VB
some,DT
fabulous,JJ
whose,WP$
its,PRP$
covered,JJ
tolls,NNS
stretched,VBD
splendour,JJ
thigh,JJ
mouth,NN
scents,NNS
shorter,VBP
beg,NN
superb,NN
full,JJ
deformed,VBD
truth,JJ
blandishments,NNS
sneering,VBG
stretches,NNS
arms,NNS
avoid,VBP
thoughts,NNS
grieving,VBG
sprout,NN
injunctions,NNS
bacchantes*,VBP
most,JJS
stood,JJ
roofs,NN
conspired,VBD
supporting,VBG
orphans,NNS
flight,NN
ever,RB
endless,RB
south,JJ
property,NN
sadder,NN
library,JJ
dusk,NN
bluebeard,NN
grievance,NN
girl,NN
soft,JJ
step,NN
flora,RBR
rapid,JJ
violent,JJ
gentlefolk,NN
ghost,NN
telling,VBG
monster,NN
souls,NNS
hardly,RB
illustrated,VBD
goes,VBZ
high,JJ
battle,NN
myself,PRP
boatloads,VBZ
laden,JJ
during,IN
shades,NNS
web,VBP
multiple,JJ
carry,VBP
pontoon,RB
few,JJ
much,RB
proudly,RB
five,CD
race-course,JJ
abandoned,VBN
tree-tops,NNS
sea,NN
canopy,NN
alcohol,NN
diameter,NN
got,VBD
learning,VBG
indigo,JJ
fences,NNS
risen,VBD
heaven,RB
hung,JJ
walks,NNS
emptiness,VBP
breaking,VBG
snatches,NNS
armchair,RB
multicoloured,VBD
bells,NNS
strange,JJ
rich,JJ
families,NNS
well-known,JJ
any,DT
rupees,NNS
clear,VBP
there,EX
brahmins*,JJ
fall,NN
toys,VBZ
bone,RB
exploited,VBN
crust,NN
straight,RB
charade,VBN
shrines,NNS
feet,NNS
poles,NNS
try,VBP
mindless,JJ
hour,NN
mothers,NNS
observe,VBP
tell,VB
terrace,NN
savages,NNS
they,PRP
divided,VBD
pool,NN
has,VBZ
muck,VBN
lacks,NNS
priest,VBP
bridge,NN
avoided,VBD
six,CD
end,NN
funds,NNS
tragedies,NNS
boulevard,VBP
official,JJ
flags,NNS
unique,JJ
fervently,RB
ephemeral,JJ
wanting,VBG
palms,NN
helen,NN
shoes,NNS
surpasses,VBZ
phantasmagoria,JJ
grands,NNS
villa,VBP
june,NN
suburbs,NNS
shoulder,VBP
suckles,NNS
precious,JJ
knee,NNS
nourished,VBN
furnishings,NNS
water-nymph,JJ
set,VBN
different,JJ
method,NNS
wine,VBP
fields,NNS
baghdad,JJ
nice,JJ
doors,NNS
does,VBZ
had,VBD
gallery,NN
strangely,RB
singers,NNS
court,NN
walkers,NNS
aristocracies,VBP
weathervanes,NNS
justice,NN
consuming,VBG
roll,NN
public,NN
displaced,VBD
platforms,NNS
looking,VBG
my,PRP$
utmost,JJ
horse,NN
wells,NNS
luminous,JJ
above,IN
her,PRP$
something,NN
dregs,JJ
lamp,NN
muted,VBD
comparison,NN
clusters,NNS
forests,VBZ
memories,NNS
stones,NNS
apotheoses,NNS
helmets,NNS
shade,VBD
drinks,NNS
evening,VBG
torture-rack,JJ
expression,NN
cities,NNS
birds,NNS
bewildered,VBD
virgins',JJ
phrase,NN
rekindle,JJ
corridors,NNS
unknown,JJ
shutters,NNS
flemish,JJ
crowd,VBP
jetty,NN
desperadoes,NNS
little,JJ
buoyant,JJ
dark,NN
chant,NN
suspected,VBD
stinking,VBG
centauresses,NNS
together,RB
roads,NNS
times,RB
lyrical,JJ
bustle,NN
hyenas,NNS
do,VBP
around,IN
store-cupboard,JJ
scholar,NN
burning,NN
endure,NN
districts,NNS
haste,NN
berries,NNS
wretched,VBD
run,VBN
mist,NN
ran,VBD
imagine,JJ
views,NNS
ocean,VBP
sabine,NN
crowned,VBN
wisdom,RB
emerged,VBN
about,IN
wake,NN
inflection,NN
time,NN
force,NN
depth,JJ
deep,JJ
aquarium,NN
auspicious,JJ
life-span,JJ
side,NN
three-coloured,JJ
diamonds,NNS
called,VBN
have,VBP
glorified,VBN
cathedrals,NNS
flower-bells,NNS
inventor,NN
somewhere,RB
passageway,RB
formed,VBN
served,VBD
sluice-gates,NNS
further,RBR
everywhere,RB
tyrannical,JJ
down,RP
galleries,NNS
told,VBD
gleam,NN
absurdly,RB
sincerity,JJ
floods,NNS
evil,VBP
foreign,JJ
sorrows,NNS
globe,VBP
bursts,NNS
masses,NNS
deer,VBP
festivals,NNS
locked,VBN
london,JJ
shops,NNS
straw,JJ
wine-sky,JJ
gums,NNS
blue-grey,JJ
world,NN
fire,NN
chest,VBP
an,DT
can,MD
shudders,NNS
caravans,NNS
foot,VBP
flowed,VBN
deign,JJ
feeds,NNS
entrusted,VBN
truly,RB
study,JJ
bed,VBD
that,IN
stone,NN
grey-green,JJ
antique,NN
jackals,NNS
revelation,NN
glare,NN
visit,NN
dwelling,VBG
funeral,JJ
tremble,JJ
plant,NN
squandered,VBD
brotherhood,JJ
voice,NN
stride,NN
piano,NN
stay,NN
lantern,JJ
cotton,NN
noisy,NNS
character,VBP
reopen,VB
dispersed,JJ
door,NN
play,NN
barbarity,NN
pleasant,JJ
corner,NN
instruments,NNS
endowed,VBD
foam,JJ
shut,NN
waver,NN
soaring,VBG
twelve,NN
bestowed,VBD
graceful,JJ
general,JJ
wash-houses,NNS
top,JJ
furs,NNS
engrossed,VBD
worlds,NNS
woman,NN
looks,VBZ
unfolds,JJ
atrocious,JJ
processions,NNS
added,VBD
avenues,NNS
rose-coloured,JJ
citizen,JJ
event,NN
each,DT
crystal,NN
uneasiness,JJ
wipe,NN
exists,NNS
soil,NN
are,VBP
norwegian,JJ
throw,NN
copper,NN
illustrious,JJ
steamimg,JJ
resources,NNS
idiot,VBP
child,JJ
perfumes,NNS
curving,VBG
think,NN
exiled,VBD
darkness,JJ
hoarseness,NN
chases,NNS
despair,NN
religion,NN
heard,NN
suffering,NN
lot,NN
prouder,JJR
frail,NN
bellow,IN
hungry,JJ
stairs,NNS
rumps,NNS
surfaces,NNS
accompaniment,JJ
india,JJ
valleys,NNS
sharpening,VBG
lake,VBP
original,JJ
actors,NNS
progress,VBP
unforeseen,JJ
expand,NN
paris,NN
velvet,NN
pulls,NNS
longer,RBR
brightness,JJ
nights,NNS
attributed,VBD
inexplicable,JJ
feeble,JJ
finish,JJ
affection,NN
gather,NN
seas,NNS
could,MD
decidedly,RB
yellow,VB
japanese,JJ
drunken,JJ
wooden,JJ
exile,NN
budding,VBG
aberration,NN
cruelty,NN
trace,NN
women,NNS
woods,NNS
too,RB
outsides,JJ
violence,NN
son,NN
youth,NN
cockerels,NNS
table,JJ
grave,VBP
march,VBN
inopportune,JJ
dry-eyed,JJ
demons,NNS
go,VBP
trumpet,NN
followed,VBD
him,PRP
balls,VBZ
returning,VBG
parks,NNS
sale,NN
nobler,NN
silence,NN
water,NN
ended,VBD
master,RBR
monstrous,JJ
right,NN
managed,VBD
ceiling,NN
others,NNS
blue-black,JJ
island,NN
chase,NN
admit,NN
vehicle,NN
human,JJ
fleets,NNS
square,VBP
wallflower,JJR
expect,VBP
curved,VBN
thickness,JJ
look,NN
houses,NNS
riddled,VBD
tall,RB
green,JJ
power,NN
arrived,VBD
explanations,NNS
brewed,VBD
sing,VBG
effects,NNS
many,JJ
chains,NNS
enough,RB
should,MD
mamma,VB
gathers,NNS
i,VBP
eucharis*,VBP
festival,JJ
then,RB
rags,VBZ
shouting,VBG
open,JJ
names,NNS
essential,JJ
faded,VBD
is,VBZ
friends,NNS
ampitheatre,JJ
plan,NN
stopped,VBD
decorated,JJ
settlements,NNS
present,JJ
prince,NN
fashion,NN
castles,NNS
's,POS
find,NN
loves,VBZ
seance,NN
conches,NNS
loving,VBG
belfry,NN
lane,NN
gets,VBZ
tarantella,JJ
beach,NN
democratic,JJ
anything,NN
wings,NNS
sings,NNS
anyway,RB
seconds,NNS
eight,CD
furious,JJ
wear,NN
mills,NNS
gratification,NN
crowded,VBD
scarborough*,JJ
humming,VBG
arched,JJ
police,NN
guilds,NNS
move,VBP
orange-lip,JJ
statistics,NNS
quays,NNS
o,VBP
drains,NNS
sleep,VB
his,PRP$
popular,JJ
wearied,JJ
hurry,NN
cousin's,NN
searching,VBG
night-time,JJ
wrecked,JJ
taste,NN
cherished,VBD
railways,NNS
rock-strewn,JJ
companion,NN
frenzied,VBD
than,IN
because,IN
great,JJ
two,CD
away,RB
steppes,NNS
unhappiness,JJ
window,RB
better,RB
again,RB
archipelago,JJ
once,RB
jewels,NNS
required,VBN
unfrozen,JJ
witch,NN
alone,RB
changes,VBZ
howls,JJ
starting,VBG
flame,NN
tiny,JJ
juvenile,JJ
venture,NN
sky,NN
dappled,VBD
sorry,JJ
element,JJ
console-tables,NNS
broom,NN
already,RB
deserve,VB
springs,NNS
choral,JJ
keynote,VBP
inevitable,JJ
explained,VBN
faith,NN
sparkle,NN
idol,NN
draped,VBD
tinkle,JJ
lebanons*,NN
